SSE,RMSE,TimeTaken,NumParams,Hidden Layers,Layer Dimensions,niters,data size,batch time,batch size
42.334285736084,0.163584768772125,176.386787414551,157,1,(10),5000,150,16,256
46.4433517456055,0.17133991420269,179.680253267288,157,1,(10),5000,150,16,256
64.9924545288086,0.202688083052635,184.307381391525,157,1,(10),5000,150,16,256
71.1672897338867,0.212098196148872,189.369210243225,157,1,(10),5000,150,16,256
34.0293197631836,0.146663948893547,191.011563301086,157,1,(10),5000,150,16,256
11.7989883422852,0.0863612964749336,194.389427423477,307,1,(20),5000,150,16,256
7.91925811767578,0.0707520470023155,195.71320772171,307,1,(20),5000,150,16,256
12.2773189544678,0.0880944430828095,195.97756934166,307,1,(20),5000,150,16,256
16.6790313720703,0.102679133415222,196.489501714706,307,1,(20),5000,150,16,256
13.7564468383789,0.0932502299547195,196.853048324585,307,1,(20),5000,150,16,256
5.77325487136841,0.0604097619652748,198.462761878967,457,1,(30),5000,150,16,256
7.16441059112549,0.0672956481575966,199.086433887482,457,1,(30),5000,150,16,256
5.68356370925903,0.0599386729300022,199.029116392136,457,1,(30),5000,150,16,256
7.96389150619507,0.0709511488676071,199.139903783798,457,1,(30),5000,150,16,256
7.76683712005615,0.0700678601861,199.254686832428,457,1,(30),5000,150,16,256
11.9937896728516,0.0870712921023369,201.464914560318,607,1,(40),5000,150,16,256
10.2994575500488,0.0806870684027672,200.894713401794,607,1,(40),5000,150,16,256
8.78691959381104,0.0745272487401962,201.184365510941,607,1,(40),5000,150,16,256
9.56182289123535,0.0777440443634987,200.91694688797,607,1,(40),5000,150,16,256
9.40545749664307,0.0771057456731796,200.856666564941,607,1,(40),5000,150,16,256
6.6392970085144,0.06478251516819,207.777519702911,757,1,(50),5000,150,16,256
15.9854402542114,0.10052152723074,207.82613825798,757,1,(50),5000,150,16,256
10.4653129577637,0.0813341364264488,207.788664340973,757,1,(50),5000,150,16,256
10.3228416442871,0.0807786136865616,207.411671161652,757,1,(50),5000,150,16,256
9.01813697814941,0.0755014270544052,207.448638677597,757,1,(50),5000,150,16,256
14.7117500305176,0.0964337214827538,370.805260181427,157,1,(10),5000,150,16,256
47.3045768737793,0.172921240329742,376.066246986389,157,1,(10),5000,150,16,256
25.2851619720459,0.12642402946949,386.47895860672,157,1,(10),5000,150,16,256
14.0647850036621,0.0942894890904427,392.427105665207,157,1,(10),5000,150,16,256
20.5245914459228,0.113902702927589,396.674354076385,157,1,(10),5000,150,16,256
55.868709564209,0.187923491001129,396.182264566422,157,1,(10),5000,150,16,256
15.0285396575928,0.0974664464592934,398.258383274078,157,1,(10),5000,150,16,256
17.951753616333,0.106524668633938,401.402974128723,157,1,(10),5000,150,16,256
11.1662750244141,0.084013856947422,397.963203191757,157,1,(10),5000,150,16,256
12.964750289917,0.0905271470546722,398.065939664841,157,1,(10),5000,150,16,256
26.5526447296143,0.129553943872452,405.994000673294,307,1,(20),5000,150,16,256
18.4891967773438,0.10810748487711,403.531660556793,307,1,(20),5000,150,16,256
43.8270111083984,0.166443824768066,409.177534818649,307,1,(20),5000,150,16,256
37.3238868713379,0.153599634766579,409.494645595551,307,1,(20),5000,150,16,256
16.3307647705078,0.101601473987103,403.858535289764,307,1,(20),5000,150,16,256
20.6535968780518,0.114260107278824,403.781318902969,307,1,(20),5000,150,16,256
8.64681911468506,0.0739307254552841,403.340017318726,307,1,(20),5000,150,16,256
10.4528980255127,0.0812858864665031,404.145406007767,307,1,(20),5000,150,16,256
42.9889678955078,0.164844810962677,405.112222671509,307,1,(20),5000,150,16,256
20.4266033172607,0.11363048106432,404.010556459427,307,1,(20),5000,150,16,256
24.3964309692383,0.124182358384132,412.159019231796,457,1,(30),5000,150,16,256
26.6734867095947,0.129848420619965,413.687061548233,457,1,(30),5000,150,16,256
23.766529083252,0.122568719089031,415.828037261963,457,1,(30),5000,150,16,256
18.5336322784424,0.108237318694592,413.953256368637,457,1,(30),5000,150,16,256
17.6093940734863,0.105504006147385,409.793547868729,457,1,(30),5000,150,16,256
22.9757957458496,0.12051248550415,409.109607458115,457,1,(30),5000,150,16,256
23.710075378418,0.122423060238361,410.345627069473,457,1,(30),5000,150,16,256
23.5737419128418,0.122070588171482,411.527197122574,457,1,(30),5000,150,16,256
38.7967681884766,0.156600996851921,416.951110601425,457,1,(30),5000,150,16,256
22.3899574279785,0.118966147303581,411.799885749817,457,1,(30),5000,150,16,256
25.9285545349121,0.128022387623787,417.300720930099,607,1,(40),5000,150,16,256
24.901704788208,0.125461742281914,413.618937969208,607,1,(40),5000,150,16,256
27.7171287536621,0.132364302873611,416.138847351074,607,1,(40),5000,150,16,256
28.3683185577393,0.133910164237022,413.428015470505,607,1,(40),5000,150,16,256
25.1906204223633,0.126187458634377,414.637820243835,607,1,(40),5000,150,16,256
31.9945869445801,0.142211601138115,415.726673364639,607,1,(40),5000,150,16,256
25.804048538208,0.12771463394165,412.490834951401,607,1,(40),5000,150,16,256
26.4104671478271,0.129206627607346,413.318306922913,607,1,(40),5000,150,16,256
36.9305000305176,0.152788043022156,411.566264629364,607,1,(40),5000,150,16,256
39.3788604736328,0.157771423459053,415.57067155838,607,1,(40),5000,150,16,256
30.932300567627,0.139830812811852,418.979673624039,757,1,(50),5000,150,16,256
34.1374588012695,0.146896809339523,421.323917865753,757,1,(50),5000,150,16,256
37.1120109558105,0.153163060545921,414.733011007309,757,1,(50),5000,150,16,256
42.1422805786133,0.163213387131691,419.440845489502,757,1,(50),5000,150,16,256
35.9307250976562,0.150705724954605,419.483453035355,757,1,(50),5000,150,16,256
28.8015155792236,0.134928733110428,419.477654457092,757,1,(50),5000,150,16,256
27.2053966522217,0.13113671541214,421.671687364578,757,1,(50),5000,150,16,256
28.9339828491211,0.135238662362099,417.280610561371,757,1,(50),5000,150,16,256
36.386474609375,0.151658490300179,416.76740694046,757,1,(50),5000,150,16,256
24.7544822692871,0.125090315937996,417.443828105927,757,1,(50),5000,150,16,256
